item_id,group_id,conversation_id,test_fold
10101:0:0,component-0ac4fc9b8026873d,10101,2
10101:2:0,component-0ac4fc9b8026873d,10101,2
10102:0:0,component-2eedba965c12809f,10102,1
10103:0:0,component-81e9e640569367ff,10103,3
10104:0:0,component-603e808481f92ba3,10104,0
10105:0:0,component-0e314628c964ba25,10105,0
10106:0:0,component-42ef561d221e42a6,10106,3
10107:0:0,component-dc94c74639284552,10107,0
10108:0:0,component-77f70a8ee3f9363e,10108,0
10108:2:0,component-77f70a8ee3f9363e,10108,0
10109:0:0,component-d72f096e541e65ce,10109,4
1010:0:0,component-0062d72f98cfd505,1010,2
10110:0:0,component-7f564d227214ac71,10110,0
10110:2:0,component-7f564d227214ac71,10110,0
10110:4:0,component-7f564d227214ac71,10110,0
10110:6:0,component-7f564d227214ac71,10110,0
10110:8:0,component-7f564d227214ac71,10110,0
10111:0:0,component-c1863eba9720c536,10111,0
10112:0:0,component-a64529cc024db5c8,10112,2
10112:2:0,component-a64529cc024db5c8,10112,2
10113:0:0,component-ac581ee03d914b59,10113,1
10114:0:0,component-a3f3bf7cc6169a7d,10114,4
10115:0:0,component-d0048f497e28b03c,10115,2
10116:0:0,component-82f4b386402cf3de,10116,4
10117:0:0,component-5409154b22ca08d0,10117,0
10118:0:0,component-e8d6943001674dc8,10118,3
10118:2:0,component-e8d6943001674dc8,10118,3
10118:4:0,component-e8d6943001674dc8,10118,3
10118:6:0,component-e8d6943001674dc8,10118,3
10119:1:0,component-f14ce52b5ea8e705,10119,0
1011:0:0,component-af7484935dbbe7c2,1011,3
10120:0:0,component-c1917fc19bdf6c60,10120,4
10120:2:0,component-c1917fc19bdf6c60,10120,4
10120:4:0,component-c1917fc19bdf6c60,10120,4
10120:6:0,component-c1917fc19bdf6c60,10120,4
10121:0:0,component-a13a569fb8a88cb0,10121,4
10122:0:0,component-9eeb8b65e054af26,10122,4
10122:2:0,component-9eeb8b65e054af26,10122,4
10122:2:1,component-9eeb8b65e054af26,10122,4
10122:2:2,component-9eeb8b65e054af26,10122,4
10123:0:0,component-6d281c38a7a4cfb1,10123,4
10123:2:0,component-6d281c38a7a4cfb1,10123,4
10124:0:0,component-5d356e1126e5a334,10124,3
10125:0:0,component-60919557ad579dc3,10125,0
10126:0:0,component-1d486b5f485544e1,10126,1
10127:0:0,component-70e47c283250da91,10127,4
10128:0:0,component-e6104fcb64f5c9ed,10128,1
10129:0:0,component-27cef6824d6c5b0c,10129,2
1012:0:0,component-f4142bbdb96468fd,1012,2
1012:2:0,component-f4142bbdb96468fd,1012,2
10130:0:0,component-452c0d908bccc86d,10130,3
10130:2:0,component-452c0d908bccc86d,10130,3
10131:0:0,component-63717f70a2ec531f,10131,4
10131:2:0,component-63717f70a2ec531f,10131,4
10132:0:0,component-cdefcf050e0d64c7,10132,4
10132:2:0,component-cdefcf050e0d64c7,10132,4
10133:0:0,component-977cc1cf4da50c13,10133,2
10134:0:0,component-f93142115a177424,10134,4
10135:0:0,component-df0a6d97020e435a,10135,0
10135:2:0,component-df0a6d97020e435a,10135,0
10136:0:0,component-a828868cec9b1154,10136,4
10137:0:0,component-56235f37fab78bb7,10137,0
10138:0:0,component-37e67b7a293af06d,10138,3
10139:0:0,component-cf36077a8de3e679,10139,3
1013:0:0,component-03b90549a61c2eee,1013,3
10140:0:0,component-875b626dde64351d,10140,1
10141:0:0,component-1ebd0f4d892359df,10141,4
10142:0:0,component-2d30cb13f80d21b8,10142,1
10143:1:0,component-0e0067b5657efedd,10143,2
10144:0:0,component-19320bc502281707,10144,2
10144:2:0,component-19320bc502281707,10144,2
10144:4:0,component-19320bc502281707,10144,2
10145:0:0,component-9d1935b08a106133,10145,4
10145:2:0,component-9d1935b08a106133,10145,4
10145:4:0,component-9d1935b08a106133,10145,4
10146:0:0,component-17cb25ac615294a2,10146,3
10147:0:0,component-c0f797570954d5db,10147,4
10148:0:0,component-5650a3b1cc1fe8b1,10148,3
10149:0:0,component-1eb536cc48b69c88,10149,3
1014:0:0,component-7854bc9c6b8b4f42,1014,3
1015:0:0,component-9916f5807d8c40d8,1015,2
1016:0:0,component-aafd043dad44bf0e,1016,4
1017:0:0,component-fcd0c1753f4c707c,1017,2
1018:0:0,component-2ddf441a152fea35,1018,2
1019:0:0,component-df9be966f81a37b6,1019,1
101:0:0,component-00383ede2a893154,101,3
101:2:0,component-00383ede2a893154,101,3
101:4:0,component-00383ede2a893154,101,3
1020:0:0,component-ae3c0874912633dc,1020,0
1021:0:0,component-31acfb3db5c24afb,1021,3
1022:0:0,component-554c0e5c64cede62,1022,0
1023:0:0,component-be224e8ffb4dc1bb,1023,0
1024:0:0,component-b2ac91db9fef0e6d,1024,1
1024:0:1,component-b2ac91db9fef0e6d,1024,1
1025:0:0,component-fce751a9c1befc03,1025,4
1026:0:0,component-5e1ea594471924c9,1026,2
1027:0:0,component-2b6a41e82445896d,1027,2
1028:0:0,component-4d03c417584a24ce,1028,2
1029:0:0,component-d05e23239e024a41,1029,2
102:0:0,component-76d30cbb3b1a910d,102,3
1030:0:0,component-d7e19ee043b97e4a,1030,3
1030:2:0,component-d7e19ee043b97e4a,1030,3
1031:0:0,component-c62f3a04a22c7e10,1031,2
1032:0:0,component-a347b2a953bb115c,1032,2
1032:2:0,component-a347b2a953bb115c,1032,2
1033:1:0,component-5d8fd91f0b1621f5,1033,4
1033:3:0,component-5d8fd91f0b1621f5,1033,4
1033:5:0,component-5d8fd91f0b1621f5,1033,4
1034:0:0,component-90c045ee14adc627,1034,0
1035:0:0,component-c88499115c0de8a7,1035,0
1036:0:0,component-af94c3439739a4ef,1036,4
1037:0:0,component-130ed929145f2ad1,1037,2
1038:0:0,component-84d1ac41dde60a52,1038,1
1038:2:0,component-84d1ac41dde60a52,1038,1
1039:0:0,component-b606a5e171e4d987,1039,0
103:0:0,component-338582975f96fa1c,103,3
1040:0:0,component-4d69105ca8fc1a2e,1040,4
1040:2:0,component-4d69105ca8fc1a2e,1040,4
1042:0:0,component-99bfddcfa4945abf,1042,0
1043:0:0,component-8732c7028b4bceee,1043,2
1044:0:0,component-488735616a23339b,1044,4
1045:0:0,component-3d31414008903594,1045,0
1045:2:0,component-3d31414008903594,1045,0
1045:4:0,component-3d31414008903594,1045,0
1046:0:0,component-1d50bdfa84924672,1046,2
1047:0:0,component-f7339371662d06a2,1047,3
1048:0:0,component-48d20aec84997a62,1048,0
1048:2:0,component-48d20aec84997a62,1048,0
1049:0:0,component-6e6e13ef33183369,1049,2
1049:2:0,component-6e6e13ef33183369,1049,2
104:0:0,component-d1ff13d51a5204e8,104,2
104:2:0,component-d1ff13d51a5204e8,104,2
10500:0:0,component-e5aec73f89fd720f,10500,1
10500:2:0,component-e5aec73f89fd720f,10500,1
10501:0:0,component-4c858a83a3f5d2ca,10501,4
10502:0:0,component-63b817f8bdf6d7e3,10502,4
10502:2:0,component-63b817f8bdf6d7e3,10502,4
10502:4:0,component-63b817f8bdf6d7e3,10502,4
10502:6:0,component-63b817f8bdf6d7e3,10502,4
10503:0:0,component-86abcccfe83a64d7,10503,0
10504:0:0,component-dd32ed44c8bbed9e,10504,4
10505:0:0,component-2cc5e088952585b0,10505,0
10506:0:0,component-b55061e40e9ff0e4,10506,4
10506:0:1,component-b55061e40e9ff0e4,10506,4
10507:0:0,component-d71c0e637e3fbac8,10507,0
10507:0:1,component-d71c0e637e3fbac8,10507,0
10507:0:2,component-d71c0e637e3fbac8,10507,0
10508:0:0,component-a7e0aa346c67179b,10508,1
10508:2:0,component-a7e0aa346c67179b,10508,1
10509:0:0,component-59208c1b1985ec01,10509,3
1050:0:0,component-bfc74041472873a3,1050,2
1050:2:0,component-bfc74041472873a3,1050,2
10510:0:0,component-8959239d874b2a11,10510,3
10511:0:0,component-ae6c2ba52d985a49,10511,2
10512:0:0,component-d5ed9e7dd5b40dd3,10512,3
10513:0:0,component-228226a57504f7f3,10513,3
10514:0:0,component-12311d1af37993f6,10514,4
10515:0:0,component-9cdc7b68d1ff0f88,10515,1
10516:0:0,component-f36b98599e749d0a,10516,2
10517:0:0,component-c66e9aa9a7d97003,10517,3
10518:0:0,component-d4ddc2c09e4718f4,10518,0
10518:2:0,component-d4ddc2c09e4718f4,10518,0
10519:0:0,component-61b41a1f5b3ddcfc,10519,1
1051:0:0,component-2545516667d53732,1051,3
10520:0:0,component-5615f87fd35cd7e0,10520,0
10521:0:0,component-0f4a54d0b2f8dd0f,10521,2
10521:2:0,component-0f4a54d0b2f8dd0f,10521,2
10522:1:0,component-38eee9f0b4747357,10522,3
10523:0:0,component-651752d26cc1b7d2,10523,0
10524:0:0,component-b9b05b4e944239d6,10524,0
10525:0:0,component-4be0bffda5575ba9,10525,0
10526:0:0,component-f66bfc442b5820f4,10526,0
10527:0:0,component-ca8517bff9d09b8b,10527,4
10527:2:0,component-ca8517bff9d09b8b,10527,4
10528:1:0,component-a1311eca39e402aa,10528,0
10529:0:0,component-5862619cd895aca9,10529,0
1052:0:0,component-0dc975706f0b9300,1052,1
10530:0:0,component-c9f0bd2fdcfa27ba,10530,3
10530:2:0,component-c9f0bd2fdcfa27ba,10530,3
10530:4:0,component-c9f0bd2fdcfa27ba,10530,3
10531:0:0,component-92ced376a52074fd,10531,0
10531:2:0,component-92ced376a52074fd,10531,0
10531:4:0,component-92ced376a52074fd,10531,0
10532:0:0,component-9dccc1f3a73fc569,10532,3
10533:0:0,component-646840d225da67ca,10533,0
10533:2:0,component-646840d225da67ca,10533,0
10534:0:0,component-1800ed277f691c6d,10534,3
10535:0:0,component-41fb8058c38326f5,10535,0
10535:0:1,component-41fb8058c38326f5,10535,0
10536:0:0,component-150bad86ed89de15,10536,0
10537:0:0,component-df71002acb84a0cf,10537,0
10538:0:0,component-26ac4827b25ce260,10538,3
10539:0:0,component-0760ad99de0cd239,10539,1
1053:0:0,component-6c23eb0cec984f51,1053,0
10540:0:0,component-ee075b73e3b05b61,10540,4
10541:1:0,component-36dd45ddef6fc52d,10541,2
10542:0:0,component-77eba239a829269f,10542,0
10543:0:0,component-e05a50ac896b661a,10543,3
10544:0:0,component-6fe97fdd97a5a76d,10544,1
10544:2:0,component-6fe97fdd97a5a76d,10544,1
10545:0:0,component-d0765f11d7d82815,10545,1
10546:0:0,component-48b10d93d0b220ee,10546,0
10547:0:0,component-99e1b82ff7a80222,10547,3
10547:2:0,component-99e1b82ff7a80222,10547,3
10547:4:0,component-99e1b82ff7a80222,10547,3
10548:0:0,component-b10561ce239eb831,10548,2
10548:2:0,component-b10561ce239eb831,10548,2
10549:0:0,component-0317a9ec604c77f3,10549,0
1054:0:0,component-208d7b6348f3a56b,1054,1
10550:0:0,component-648199f627f3ac6c,10550,3
10551:0:0,component-b6320bc4567dc504,10551,3
10551:2:0,component-b6320bc4567dc504,10551,3
10552:0:0,component-7050c0cc2f77bda4,10552,0
10553:0:0,component-2f5e2dbfd9b92dc9,10553,4
10554:0:0,component-5b1f7021b0dd6f4f,10554,1
10555:0:0,component-f2d42e7e27b343aa,10555,0
10556:0:0,component-1b77b9e6c1672cf3,10556,0
10557:0:0,component-ed1347c3670988f5,10557,0
10558:0:0,component-a18e75b10c4931d7,10558,0
10558:2:0,component-a18e75b10c4931d7,10558,0
10558:4:0,component-a18e75b10c4931d7,10558,0
10559:0:0,component-7cd7722d813666a5,10559,0
10559:2:0,component-7cd7722d813666a5,10559,0
10559:4:0,component-7cd7722d813666a5,10559,0
1055:0:0,component-79ffc42b409f5d1e,1055,1
10560:0:0,component-36cc23f7cb48fdb7,10560,1
10561:0:0,component-b5698e4815a02a22,10561,0
10562:0:0,component-f19d6072623339d8,10562,0
10562:2:0,component-f19d6072623339d8,10562,0
10563:0:0,component-4eac06785144b9c2,10563,0
10563:2:0,component-4eac06785144b9c2,10563,0
10564:0:0,component-cfecbd415e83e72c,10564,3
10565:0:0,component-06bde09c22343743,10565,0
10566:1:0,component-71fe7ff2de8e457e,10566,4
10567:0:0,component-4c05c9cd707a7c1d,10567,0
10568:0:0,component-aa4cd9a9754b0f6e,10568,2
10568:2:0,component-aa4cd9a9754b0f6e,10568,2
10569:0:0,component-0df964284864874c,10569,1
1056:0:0,component-c1a8323f2e5040fa,1056,3
10570:0:0,component-7b8843029579cacb,10570,0
10570:2:0,component-7b8843029579cacb,10570,0
10571:0:0,component-b83697c1d21dd4b7,10571,4
10572:0:0,component-3475d5aa54697c62,10572,4
10573:0:0,component-91b62b855ecbc269,10573,2
10574:0:0,component-aad679354b88aaa2,10574,1
10575:0:0,component-5022484e48ab323b,10575,3
10575:2:0,component-5022484e48ab323b,10575,3
10576:0:0,component-5c326d28d756b337,10576,3
10577:0:0,component-336d3b5ab44f7731,10577,0
10578:0:0,component-3e20f89ea9c8e888,10578,3
10578:2:0,component-3e20f89ea9c8e888,10578,3
10578:4:0,component-3e20f89ea9c8e888,10578,3
10579:0:0,component-a369fb29174d408b,10579,3
1057:0:0,component-d23c79bf04c8c97e,1057,1
10580:0:0,component-d2e45694dbbfd310,10580,1
10581:0:0,component-83c21f2ce5613988,10581,0
10582:0:0,component-e370ef962c439964,10582,1
10583:0:0,component-cf95b64d1ef38ead,10583,0
10583:0:1,component-cf95b64d1ef38ead,10583,0
10583:2:0,component-cf95b64d1ef38ead,10583,0
10585:0:0,component-cab3ffafd0b331df,10585,1
10585:2:0,component-cab3ffafd0b331df,10585,1
10586:0:0,component-64f6b182409a4ad9,10586,4
10587:0:0,component-be63513484f71873,10587,1
10587:2:0,component-be63513484f71873,10587,1
10588:0:0,component-20ae6003527c5943,10588,2
10589:0:0,component-8a30c8968f87c13f,10589,4
1058:0:0,component-dcca1e38d9cf44b5,1058,3
10590:0:0,component-d85b5112dea8a865,10590,3
10591:0:0,component-e9f96aa57874fd87,10591,3
10592:0:0,component-2762edf0893b251c,10592,1
10593:0:0,component-d61d0e172a511633,10593,0
10594:0:0,component-b18d766caa37e641,10594,0
10595:0:0,component-165e4c70da559054,10595,0
10596:0:0,component-96c0b6de9c0374f3,10596,0
10596:0:1,component-96c0b6de9c0374f3,10596,0
10597:1:0,component-0f9875f8d95c5fac,10597,0
10598:0:0,component-ea8f1d012a2ba173,10598,2
10599:0:0,component-9d430938041f1a85,10599,4
1059:0:0,component-6ce6dd67461c2c92,1059,0
105:0:0,component-2e7210b33dbef990,105,0
10600:0:0,component-5f47f0cee568e6a3,10600,4
10600:2:0,component-5f47f0cee568e6a3,10600,4
10600:4:0,component-5f47f0cee568e6a3,10600,4
10601:0:0,component-90c09bf2bea93e33,10601,1
10602:0:0,component-7c488179cea3d399,10602,4
10603:0:0,component-db087676557d07bb,10603,1
10603:2:0,component-db087676557d07bb,10603,1
10604:0:0,component-3f7b1051536b4d7e,10604,3
10605:0:0,component-20ee89481c20e507,10605,4
10606:0:0,component-02ca2abdb4d0673c,10606,0
10607:0:0,component-4947576e8bd82e54,10607,3
10608:0:0,component-492b2a0114bfab3b,10608,4
10609:0:0,component-963e99554944f50f,10609,2
1060:0:0,component-ddd9ffd38ef32c0d,1060,3
1060:2:0,component-ddd9ffd38ef32c0d,1060,3
1060:4:0,component-ddd9ffd38ef32c0d,1060,3
1060:6:0,component-ddd9ffd38ef32c0d,1060,3
10610:0:0,component-090fe7ed4842b818,10610,0
10611:0:0,component-84902719564acfd7,10611,3
10612:0:0,component-2fee0182195a62cb,10612,1
10612:2:0,component-2fee0182195a62cb,10612,1
10612:4:0,component-2fee0182195a62cb,10612,1
10613:0:0,component-dadd6a8ed7700051,10613,2
10614:0:0,component-52a748b2aa9063e0,10614,0
10615:0:0,component-5b94ac5941be98aa,10615,0
10616:0:0,component-c997292224db163d,10616,0
10618:0:0,component-51f09309ea32c7e5,10618,3
10619:0:0,component-9dccc93ab6b2370a,10619,0
1061:0:0,component-beb4a3db23b79bc1,1061,2
10620:0:0,component-3abb283a2b378c26,10620,1
10620:2:0,component-3abb283a2b378c26,10620,1
10621:0:0,component-50a07a035e82e7a1,10621,0
10622:0:0,component-599d3e2b0a4fc84e,10622,3
10622:2:0,component-599d3e2b0a4fc84e,10622,3
10623:0:0,component-77ba3cc0c7b7b6eb,10623,2
10624:0:0,component-8de98293410e0548,10624,3
10625:0:0,component-07c115e8df5f77d2,10625,0
10626:0:0,component-3a2c1c9fac5c73aa,10626,4
10627:0:0,component-11d06795643b42ac,10627,0
10628:0:0,component-e6859a55a53a7ef3,10628,3
10629:0:0,component-cd5a8cbefc36710b,10629,1
10629:0:1,component-cd5a8cbefc36710b,10629,1
10629:0:2,component-cd5a8cbefc36710b,10629,1
10629:2:0,component-cd5a8cbefc36710b,10629,1
1062:0:0,component-c67457e360fbe3af,1062,3
10630:0:0,component-965c3f6892ae83af,10630,2
10631:0:0,component-352e18f3b63d2b86,10631,2
10631:2:0,component-352e18f3b63d2b86,10631,2
10632:0:0,component-5c8cfe32fee90790,10632,2
10633:0:0,component-c9700de76a37f56d,10633,2
10634:0:0,component-0445135e6522b813,10634,3
10635:0:0,component-b0c6f2e0d7a6848b,10635,0
10636:0:0,component-6fdd5efe334611f1,10636,1
10637:0:0,component-6c2f5b15e6c6e305,10637,2
10638:0:0,component-c10a722d9339d34f,10638,4
10639:0:0,component-1f6124e5726ff8a1,10639,0
1063:0:0,component-e1420367c0d472f1,1063,4
10640:0:0,component-f81c0e417fb94f04,10640,4
10641:0:0,component-bd8f0ae3d2d61a8f,10641,2
10642:0:0,component-3044944a10c286aa,10642,1
10642:0:1,component-3044944a10c286aa,10642,1
10643:0:0,component-2839bfc7760fcb90,10643,3
10644:1:0,component-1a0867189d89dc56,10644,0
10644:3:0,component-1a0867189d89dc56,10644,0
10645:0:0,component-4221275d47190d0b,10645,0
10646:0:0,component-b1662715b51f42c7,10646,3
10647:0:0,component-2e0fdc5daf1390f8,10647,1
10648:0:0,component-fb289e5dee0333dd,10648,4
10648:2:0,component-fb289e5dee0333dd,10648,4
10649:0:0,component-8fb5268c99d9740a,10649,2
1064:0:0,component-d6e1cca1612b6f86,1064,3
10650:0:0,component-e9f5b4a33c494547,10650,4
10651:0:0,component-b6b986c1cb47bcc0,10651,4
10652:0:0,component-5835599532424f2d,10652,3
10653:0:0,component-5effb68bda4441f1,10653,0
10653:2:0,component-5effb68bda4441f1,10653,0
10654:0:0,component-4cb6f3133a6b4e50,10654,0
10655:0:0,component-ccc946a2447d8669,10655,2
10656:0:0,component-e241e6ba5e8aba95,10656,0
10657:0:0,component-d69bec2654d63ad5,10657,0
10657:2:0,component-d69bec2654d63ad5,10657,0
10658:0:0,component-2432dcd05f8464be,10658,0
10659:0:0,component-089e27c4ac344266,10659,1
1065:0:0,component-51ad86ddd67e834e,1065,1
10660:0:0,component-ad61765eab5d752a,10660,0
10661:0:0,component-7657bc6d691d7287,10661,0
10662:0:0,component-cea6675cc6f60ec0,10662,3
10663:0:0,component-5ac28d25a2df946d,10663,4
10664:0:0,component-d32012ebe5ad666a,10664,2
10665:0:0,component-90a14478a27b9ff2,10665,3
10665:2:0,component-90a14478a27b9ff2,10665,3
10666:0:0,component-add186eec9b8ec9a,10666,1
